"product_name","product_link","category_name","category_url"
"Almansa 401 Classical Guitar Spruce Top ","https://www.kosmic.com.au/almansa-401-classical-guitar-spruce-top","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 402 Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-402-classical-guitar-with-solid-cedar-top","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 402 Classical Guitar with Solid German Spruce Top","https://www.kosmic.com.au/almansa-402-classical-guitar-with-solid-german-spr","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 403 Classical Guitar with Solid Cedar Top Thin","https://www.kosmic.com.au/almansa-403-classical-guitar-with-solid-cedar-top","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 403CC Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-403cc-classical-guitar-with-solid-cedar-to","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 424 Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-424-classical-guitar-with-solid-cedar-top","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 424 Ziricote Classical","https://www.kosmic.com.au/almansa-424-ziricote-classical","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 435CW Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-435cw-classical-guitar-with-solid-cedar-to","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa Classical Guitar Case","https://www.kosmic.com.au/almansa-classical-guitar-case","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa Conservatorio 457 Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-conservatorio-457-classical-guitar-with-so","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa Crossover Cutaway Classical Guitar With Fishman Pickup","https://www.kosmic.com.au/almansa-crossover-cutaway-classical-guitar-with-fi","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa CW403 Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-cw403-classical-guitar-with-solid-cedar-to","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Amphenol Patch Cable 0.3M","https://www.kosmic.com.au/amphenol-patch-cable-0.3m","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Arkarion - Lessons in Futility CD","https://www.kosmic.com.au/arkarion-lessons-in-futility-cd","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Augustine Black Strings         ","https://www.kosmic.com.au/augustine-black-strings","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Augustine Blue Nylon Guitar Strings         ","https://www.kosmic.com.au/augustine-blue-nylon-guitar-strings","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
