"product_name","product_link","category_link"
"Yamaha Pacifica PAC012DBM Dark Blue Metallic Guitar","https://www.ghmusic.com.au/yamaha-pacifica-012-dark-blue-metallic.html","https://www.ghmusic.com.au/guitars?limit=all"
"Yamaha Pacifica 012 Red Metallic Guitar","https://www.ghmusic.com.au/yamaha-pacifica-012-red-metallic.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ernie Ball Red Polypro Guitar Strap","https://www.ghmusic.com.au/ernie-ball-red-polypro-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ernie Ball Rainbow Polypro Guitar Strap","https://www.ghmusic.com.au/ernie-ball-rainbow-polypro-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ernie Ball Burgundy Polypro Guitar Strap","https://www.ghmusic.com.au/ernie-ball-burgundy-polypro-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ernie Ball Olive Polypro Guitar Strap","https://www.ghmusic.com.au/ernie-ball-olive-polypro-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ernie Ball Brown Polypro Guitar Strap","https://www.ghmusic.com.au/ernie-ball-brown-polypro-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Double D Black Guitar Strap","https://www.ghmusic.com.au/dunlop-double-d-black-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Planet Waves Planet Lock Guitar Strap, Black","https://www.ghmusic.com.au/planet-waves-planet-lock-guitar-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Vintage Leather Guitar Strap","https://www.ghmusic.com.au/fender-vintage-leather-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Monogrammed Guitar Strap","https://www.ghmusic.com.au/fender-monogrammed-strap-4222.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Monogrammed Guitar Strap","https://www.ghmusic.com.au/fender-monogrammed-strap.html","https://www.ghmusic.com.au/guitars?limit=all"
"TC HELICON VoiceTone Harmony-G XT HARMONY PEDAL FOR GUITARISTS","https://www.ghmusic.com.au/tc-helicon-voicetone-harmony-g-xt-harmony-pedal-for-guitarists.html","https://www.ghmusic.com.au/guitars?limit=all"
"Music Man Luke III HH Electric Guitar","https://www.ghmusic.com.au/music-man-luke-iii-hh-electric-guitar.html","https://www.ghmusic.com.au/guitars?limit=all"
